Year of application,Geographical region,Nationality,Applications,Initial decisions,Granted asylum,Granted HP/DL,Other grants,Refused,Applications withdrawn,Initial decisions not yet known,Appeals lodged,Allowed appeals,Dismissed appeals,Withdrawn appeals,Appeal outcome not yet known,Enforced returns,Voluntary returns,Assisted returns (Subset of Voluntary returns),Controlled returns (Subset of Voluntary returns),Other verified returns (Subset of Voluntary returns),Final outcome: Grants of asylum,Final outcomes: Grants of HP/DL and other,Final outcomes: Refused asylum or HP or DL or other leave,Final outcome: Withdrawn application,Final outcome: Cases with final outcome not yet known
2008,Asia South East,Philippines,5,4,0,0,0,4,0,1,1,1,0,0,0,2,0,0,0,0,0,1,3,0,1
2008,Other,Pitcairn Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU 8,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU 14,Portugal,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0
2008,America North,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Middle East,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Other,Refugee,131,126,83,2,0,41,4,1,38,27,10,1,0,7,1,0,0,1,110,1,15,4,1
2008,Africa Sub-Saharan,Reunion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU 2,Romania,7,2,0,0,0,2,5,0,0,0,0,0,0,1,2,2,0,0,0,0,2,5,0
2008,Europe Other,Russia,50,39,8,0,0,31,11,0,18,4,13,1,0,15,11,7,2,2,12,0,28,10,0
2008,Africa Sub-Saharan,Rwanda,21,18,2,3,0,13,2,1,14,3,9,2,0,4,4,2,1,1,4,4,10,2,1
2008,Oceania,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Middle East,Saudi Arabia,10,5,0,0,0,5,5,0,4,1,2,1,0,2,2,1,0,1,1,0,4,5,0
2008,Africa Sub-Saharan,Senegal,19,14,1,0,0,13,4,1,11,1,10,0,0,5,2,1,0,1,2,0,12,4,1
2008,Europe Other,Serbia,4,3,0,1,0,2,1,0,0,0,0,0,0,2,1,1,0,0,0,1,2,1,0
2008,Europe Other,Serbia and Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Seychelles,3,2,0,0,0,2,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1
2008,Africa Sub-Saharan,Sierra Leone,50,43,2,4,0,37,6,1,20,4,12,2,2,14,4,2,1,1,6,4,31,6,3
2008,Asia South East,Singapore,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
2008,EU 8,Slovakia,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
